ÁREA;PUESTO;N;ID CONOCIMIENTO;CONOCIMIENTO;Nivel;Valor
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 6M A 1,5 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 1,5 - 3 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 3 - 5 AÑO;3
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 5 - 6,5 AÑOS;4
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 6,5 - 8 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 8 - 10 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 10 - 13 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 13 - 16 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 16 - 20 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N1: 20 - 24 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N2: 24 - 30 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER1;1;Conocimientos del mercado y la industria, incluyendo las tendencias, los competidores y los desafíos del sector.;N3: 30 - 38 AÑOS;5
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N0: Prácticas;0
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N1: 6M A 1,5 AÑO;1
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N2: 1,5 - 3 AÑO;2
COMERCIAL;ÁREA_MANAGER;ÁREA_MANAGER2;2;Conocimientos sobre tipos de estrategia de ventas y análisis de las necesidades del cliente;N3: 3 - 5 AÑO;3
