ÁREA;PUESTO;N0: Prácticas;N1: 6M A 1,5 AÑO;N2: 1,5 - 3 AÑO;N3: 3 - 5 AÑO;N1: 5 - 6,5 AÑOS;N2: 6,5 - 8 AÑOS;N3: 8 - 10 AÑOS;N1: 10 - 13 AÑOS;N2: 13 - 16 AÑOS;N3: 16 - 20 AÑOS;N1: 20 - 24 AÑOS;N2: 24 - 30 AÑOS;N3: 30 - 38 AÑOS
ESTRATEGIA;D.GENERAL;;57500;60662,5;63998,9375;67518,87906;71232,41741;75150,20037;79283,46139;83644,05177;88244,47461;93097,92072;98218,30636;103620,3132
COMERCIAL;D.COMERCIAL;;33750;35268,75;36855,84375;38514,35672;40247,50277;42058,6404;43951,27921;45929,08678;47995,89568;50155,71099;52412,71798;54771,29029
FINANCIERO;D.FINANCIERA;;;;;;;;;;;;;
INNOVACIÓN_DESARROLLO_INVESTIGACIÓN;D.INNOVACIÓN_DESARROLLO_INVESTIGACIÓN;;30500;31872,5;33306,7625;34805,56681;36371,81732;38008,5491;39718,93381;41506,28583;43374,06869;45325,90178;47365,56736;49497,01789
PRODUCCIÓN;D.PRODUCCIÓN;;30000;31350;32760,75;34234,98375;35775,55802;37385,45813;39067,80375;40825,85491;42663,01839;44582,85421;46589,08265;48685,59137
FRESMEDICAL;D.PROCESOS_Y_MC;;30000;31350;32760,75;34234,98375;35775,55802;37385,45813;39067,80375;40825,85491;42663,01839;44582,85421;46589,08265;48685,59137
CAD;D.CAD;;30000;31350;32760,75;34234,98375;35775,55802;37385,45813;39067,80375;40825,85491;42663,01839;44582,85421;46589,08265;48685,59137
RRHH;D.ADM_Y_RRHH;;28500;29497,5;30529,9125;31598,45944;32704,40552;33849,05971;35033,7768;36259,95899;37529,05755;38842,57457;40202,06468;41609,13694
COMERCIAL;ÁREA_MANAGER;;23500;24557,5;25662,5875;26817,40394;28024,18711;29285,27553;30603,11293;31980,25302;33419,3644;34923,2358;36494,78141;38137,04657
COMERCIAL;R.MARKETING_Y_COMUNICACIÓN;;23500;24557,5;25662,5875;26817,40394;28024,18711;29285,27553;30603,11293;31980,25302;33419,3644;34923,2358;36494,78141;38137,04657
CALIDAD;JE.CALIDAD;;23500;24557,5;25662,5875;26817,40394;28024,18711;29285,27553;30603,11293;31980,25302;33419,3644;34923,2358;36494,78141;38137,04657
CAD;R.CAD;;23500;24557,5;25662,5875;26817,40394;28024,18711;29285,27553;30603,11293;31980,25302;33419,3644;34923,2358;36494,78141;38137,04657
CAD;JE.CAD;;23500;24557,5;25662,5875;26817,40394;28024,18711;29285,27553;30603,11293;31980,25302;33419,3644;34923,2358;36494,78141;38137,04657
MÁQUINAS;JE.MÁQUINAS;;23000;23805;24638,175;25500,51113;26393,02901;27316,78503;28272,87251;29262,42304;30286,60785;31346,63912;32443,77149;33579,3035
ALINEADO;JE.ALINEADO;;23000;23805;24638,175;25500,51113;26393,02901;27316,78503;28272,87251;29262,42304;30286,60785;31346,63912;32443,77149;33579,3035
CÁLCULO;JE.CÁLCULO;;23000;23805;24638,175;25500,51113;26393,02901;27316,78503;28272,87251;29262,42304;30286,60785;31346,63912;32443,77149;33579,3035
FINANCIERO;R.CONTABILIDAD;;21750;22511,25;23299,14375;24114,61378;24958,62526;25832,17715;26736,30335;27672,07397;28640,59655;29643,01743;30680,52304;31754,34135
LOGÍSTICA;JE.LOGÍSTICA;;21000;21630;22278,9;22947,267;23635,68501;24344,75556;25075,09823;25827,35117;26602,17171;27400,23686;28222,24397;29068,91129
FRESMEDICAL;I.DISEÑO_BIOMÉDICO;7800;18000;20000;20900;21840,5;22823,3225;23850,37201;24923,63875;26045,2025;27217,23661;28442,01226;29721,90281;31059,38843
INNOVACIÓN_DESARROLLO_INVESTIGACIÓN;I.DISEÑO_E_INGENIERÍA_INVERSA;7800;18000;20000;20900;21840,5;22823,3225;23850,37201;24923,63875;26045,2025;27217,23661;28442,01226;29721,90281;31059,38843
CALIDAD;T.CALIDAD;Gastos +SS;15876;16590,42;17336,9889;18117,1534;18932,4253;19784,38444;20674,68174;21605,04242;22577,26933;23593,24645;24654,94254;25764,41495
CAD;T.CALIDAD_CAD;Gastos +SS;15876;16590,42;17336,9889;18117,1534;18932,4253;19784,38444;20674,68174;21605,04242;22577,26933;23593,24645;24654,94254;25764,41495
FRESMEDICAL;T.CORTE_Y_REPASO;Gastos +SS;15876;16590,42;17336,9889;18117,1534;18932,4253;19784,38444;20674,68174;21605,04242;22577,26933;23593,24645;24654,94254;25764,41495
CAD;T.CAD;Gastos +SS;15876;16590,42;17336,9889;18117,1534;18932,4253;19784,38444;20674,68174;21605,04242;22577,26933;23593,24645;24654,94254;25764,41495
CÁLCULO;T.CÁLCULO;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
IMPRESIÓN_3D;T.IMPRESIÓN_3D;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
ALINEADO;T.ALINEADO;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
MÁQUINAS;T.MÁQUINAS;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
MANTENIMIENTO;T.MANTENIMIENTO;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
FINANCIERO;T.CONTROLLER;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
FINANCIERO;T.CONTABILIDAD;Gastos +SS;15876;16431,66;17006,7681;17602,00498;18218,07516;18855,70779;19515,65756;20198,70558;20905,66027;21637,35838;22394,66592;23178,47923
COMPRAS;T.COMPRAS;Gastos +SS;15877;16432,695;17007,83933;17603,1137;18219,22268;18856,89547;19516,88682;20199,97785;20906,97708;21638,72128;22396,07652;23179,9392
SAT_SAC;S.TÉCNICO;Gastos +SS;15876;16272,9;16679,7225;17096,71556;17524,13345;17962,23679;18411,29271;18871,57503;19343,3644;19826,94851;20322,62222;20830,68778
LOGÍSTICA;T.LOGÍSTICA;Gastos +SS;15876;16272,9;16679,7225;17096,71556;17524,13345;17962,23679;18411,29271;18871,57503;19343,3644;19826,94851;20322,62222;20830,68778
LOGÍSTICA;A.LOGÍSTICA;Gastos +SS;15876;16145,892;16420,37216;16699,51849;16983,41031;17272,12828;17565,75446;17864,37229;18168,06662;18476,92375;18791,03145;19110,47899
